Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint.Speed,Positioning,Finishing,Shot.Power,Long.Shots,Volleys,Penalties,Vision,Crossing,Free.Kick.Accuracy,Short.Passing,Long.Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball.Control,Composure,Interceptions,Heading.Accuracy,Def.Awareness,Standing.Tackle,Sliding.Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak.foot,Skill.moves,Preferred.foot,Height,Weight,Alternative.positions,Age,Nation,League,Team,url,GK.Diving,GK.Handling,GK.Kicking,GK.Positioning,GK.Reflexes,gender,name_norm,player_id,name,current_club_name,last_season,market_value_in_eur,highest_market_value_in_eur,statut_match,joueur_probablement_retraite,name_tm,score_matching
Thibaut Courtois,89,85,89,76,90,46,88,42,52,13.0,14.0,57,17.0,12.0,27,44,14.0,20.0,33,35,19.0,13.0,63,45,88,23,66,15.0,13.0,20.0,18.0,16.0,68,38,70,23,GK,3,1,Left,200,96,,32,Belgium,LALIGA EA SPORTS,Real Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/thibaut-courtois/192119,85.0,89.0,76.0,88.0,90.0,M,thibaut courtois,108390.0,Thibaut Courtois,Real Madrid,2025.0,15000000,75000000,ok,False,,
Lautaro Martínez,89,82,88,75,87,54,85,84,80,92.0,93.0,87,80.0,92.0,74,79,68.0,65.0,79,73,80.0,85.0,89,92,92,89,88,48.0,86.0,55.0,51.0,44.0,93,83,85,87,ST,4,4,Right,174,72,,27,Argentina,Serie A Enilive,Lombardia FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lautaro-martinez/231478,,,,,,M,lautaro martinez,406625.0,Lautaro Martínez,Inter Milan,2025.0,85000000,110000000,ok,False,,
Virgil van Dijk,89,78,60,71,71,89,86,66,87,47.0,52.0,81,64.0,45.0,62,67,53.0,70.0,80,86,60.0,70.0,54,50,88,77,90,88.0,87.0,90.0,91.0,86.0,89,72,93,85,CB,3,2,Right,193,92,,33,Holland,Premier League,Liverpool,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/virgil-van-dijk/203376,,,,,,M,virgil van dijk,139208.0,Virgil van Dijk,Liverpool FC,2025.0,15000000,100000000,ok,False,,
Marc-André ter Stegen,89,86,85,89,91,47,86,45,50,11.0,14.0,67,10.0,14.0,25,70,18.0,12.0,61,63,18.0,21.0,39,43,85,30,70,22.0,11.0,25.0,13.0,10.0,72,35,78,43,GK,4,1,Right,187,85,,32,Germany,LALIGA EA SPORTS,FC Barcelona,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marc-andre-ter-stegen/192448,86.0,85.0,89.0,86.0,91.0,M,marcandre ter stegen,74857.0,Marc-André ter Stegen,FC Barcelona,2025.0,3000000,90000000,ok,False,,
Mohamed Salah,89,89,87,82,88,45,75,89,89,92.0,90.0,82,84.0,83.0,81,85,80.0,69.0,86,77,84.0,88.0,89,91,93,86,88,55.0,59.0,38.0,43.0,41.0,79,87,73,63,RW,3,4,Left,175,72,RM,32,Egypt,Premier League,Liverpool,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mohamed-salah/209331,,,,,,M,mohamed salah,148455.0,Mohamed Salah,Liverpool FC,2025.0,22000000,150000000,ok,False,,
Phil Foden,88,86,86,85,90,57,63,89,83,85.0,88.0,89,89.0,59.0,64,86,80.0,74.0,88,84,88.0,90.0,92,92,85,91,86,59.0,47.0,60.0,59.0,47.0,66,83,53,64,RW,3,4,Left,171,69,"LW, CAM, RM",24,England,Premier League,Manchester City,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/phil-foden/237692,,,,,,M,phil foden,406635.0,Phil Foden,Manchester City,2025.0,70000000,150000000,ok,False,,
Lionel Messi,88,79,85,87,92,33,64,86,73,89.0,85.0,83,87.0,86.0,75,90,80.0,92.0,87,86,93.0,93.0,90,95,85,93,94,40.0,60.0,20.0,35.0,24.0,71,70,68,44,RW,4,4,Left,169,67,"ST, CAM, RM",37,Argentina,MLS,Inter Miami CF,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/lionel-messi/158023,,,,,,M,lionel messi,28003.0,Lionel Messi,Club Internacional de Fútbol Miami,2025.0,15000000,180000000,ok,False,,
Antoine Griezmann,88,80,88,87,89,59,75,81,80,90.0,90.0,85,87.0,86.0,79,88,82.0,85.0,89,86,89.0,88.0,89,84,90,91,89,59.0,85.0,45.0,63.0,64.0,85,86,69,74,ST,3,4,Left,176,73,,33,France,LALIGA EA SPORTS,Atlético de Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antoine-griezmann/194765,,,,,,M,antoine griezmann,125781.0,Antoine Griezmann,Atlético de Madrid,2025.0,8000000,150000000,ok,False,,
Rúben Dias,88,67,39,70,69,89,87,65,68,39.0,29.0,74,26.0,32.0,45,64,54.0,48.0,85,81,46.0,64.0,62,56,89,75,86,87.0,87.0,90.0,90.0,87.0,88,78,90,88,CB,4,2,Right,187,82,,27,Portugal,Premier League,Manchester City,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ruben-dias/239818,,,,,,M,ruben dias,258004.0,Rúben Dias,Manchester City,2025.0,55000000,80000000,ok,False,,
Robert Lewandowski,88,75,88,79,86,44,84,76,75,90.0,90.0,89,82.0,86.0,90,81,76.0,84.0,84,70,79.0,85.0,77,83,89,90,87,49.0,88.0,35.0,42.0,19.0,92,76,89,81,ST,4,4,Right,185,81,,36,Poland,LALIGA EA SPORTS,FC Barcelona,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/robert-lewandowski/188545,,,,,,M,robert lewandowski,38253.0,Robert Lewandowski,FC Barcelona,2025.0,7000000,90000000,ok,False,,
Federico Valverde,88,88,82,84,84,80,84,84,91,86.0,78.0,91,87.0,74.0,59,86,78.0,69.0,87,88,74.0,83.0,77,68,89,88,84,83.0,63.0,79.0,85.0,80.0,83,92,82,81,CM,4,3,Right,182,78,RM,26,Uruguay,LALIGA EA SPORTS,Real Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/federico-valverde/239053,,,,,,M,federico valverde,369081.0,Federico Valverde,Real Madrid,2025.0,90000000,130000000,ok,False,,
Ederson,88,87,82,91,87,64,86,64,63,20.0,14.0,68,18.0,18.0,65,70,20.0,20.0,65,68,39.0,30.0,60,48,88,45,70,27.0,14.0,29.0,15.0,,79,44,78,38,GK,3,1,Left,188,86,,31,Brazil,Premier League,Manchester City,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ederson/210257,87.0,82.0,91.0,86.0,87.0,M,ederson,607854.0,Éderson,Atalanta BC,2025.0,45000000,50000000,ok,False,,
Bernardo Silva,88,75,78,86,92,71,69,83,69,85.0,78.0,79,79.0,78.0,64,87,84.0,67.0,91,82,84.0,93.0,95,92,89,92,89,73.0,54.0,70.0,76.0,68.0,68,93,54,78,CM,3,4,Left,173,64,RW,30,Portugal,Premier League,Manchester City,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bernardo-silva/218667,,,,,,M,bernardo silva,241641.0,Bernardo Silva,Manchester City,2025.0,22000000,100000000,ok,False,,
Jan Oblak,88,85,90,78,87,46,86,42,53,11.0,11.0,59,12.0,13.0,11,67,13.0,14.0,43,40,13.0,12.0,64,48,85,30,68,24.0,15.0,27.0,14.0,18.0,72,42,78,36,GK,3,1,Right,188,87,,31,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jan-oblak/200389,85.0,90.0,78.0,86.0,87.0,M,jan oblak,121483.0,Jan Oblak,Atlético de Madrid,2025.0,15000000,100000000,ok,False,,
Antonio Rüdiger,88,82,55,73,70,86,86,71,91,54.0,40.0,84,67.0,34.0,40,61,68.0,56.0,84,81,50.0,69.0,56,50,86,74,80,85.0,83.0,86.0,88.0,87.0,89,70,91,92,CB,3,2,Right,190,86,,31,Germany,LALIGA EA SPORTS,Real Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/antonio-rudiger/205452,,,,,,M,antonio rudiger,86202.0,Antonio Rüdiger,Real Madrid,2025.0,6000000,50000000,ok,False,,
Florian Wirtz,88,81,78,87,89,50,67,81,81,83.0,79.0,78,79.0,80.0,64,91,84.0,69.0,91,87,82.0,90.0,87,87,88,90,85,44.0,42.0,58.0,49.0,44.0,64,87,59,63,CAM,4,4,Right,177,71,LM,21,Germany,Bundesliga,Leverkusen,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/florian-wirtz/256630,,,,,,M,florian wirtz,598577.0,Florian Wirtz,Liverpool FC,2025.0,100000000,140000000,ok,False,,
Gregor Kobel,88,87,86,73,89,44,87,38,52,10.0,10.0,55,10.0,10.0,12,59,13.0,12.0,39,33,13.0,24.0,37,29,86,34,66,14.0,13.0,15.0,15.0,15.0,71,30,81,24,GK,3,1,Right,195,88,,26,Switzerland,Bundesliga,Borussia Dortmund,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gregor-kobel/235073,87.0,86.0,73.0,87.0,89.0,M,gregor kobel,257814.0,Gregor Kobel,Borussia Dortmund,2025.0,40000000,40000000,ok,False,,
William Saliba,87,82,39,70,74,87,83,77,86,43.0,35.0,60,23.0,34.0,47,62,58.0,35.0,84,78,55.0,74.0,53,46,86,82,85,86.0,79.0,88.0,89.0,86.0,89,72,87,83,CB,3,2,Right,193,85,,23,France,Premier League,Arsenal,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/william-saliba/243715,,,,,,M,william saliba,495666.0,William Saliba,Arsenal FC,2025.0,100000000,100000000,ok,False,,
Victor Osimhen,87,89,84,65,81,42,82,85,92,92.0,88.0,86,74.0,83.0,75,70,62.0,52.0,72,54,63.0,80.0,78,67,89,84,80,34.0,86.0,36.0,45.0,22.0,94,81,86,68,ST,4,3,Right,186,77,,25,Nigeria,Serie A Enilive,SSC Napoli,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/victor-osimhen/232293,,,,,,M,victor osimhen,401923.0,Victor Osimhen,Galatasaray,2025.0,75000000,120000000,ok,False,,
Jamal Musiala,87,84,81,78,90,63,64,86,83,86.0,84.0,80,79.0,73.0,59,84,67.0,59.0,84,79,75.0,94.0,93,93,87,84,83,65.0,49.0,64.0,63.0,66.0,69,78,59,59,CAM,4,5,Right,184,72,"LM, CM",21,Germany,Bundesliga,FC Bayern München,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jamal-musiala/256790,,,,,,M,jamal musiala,580195.0,Jamal Musiala,Bayern Munich,2025.0,100000000,140000000,ok,False,,
Bukayo Saka,87,85,83,81,88,60,70,88,83,82.0,84.0,79,83.0,79.0,87,86,85.0,69.0,83,70,84.0,89.0,85,88,85,88,82,62.0,49.0,60.0,62.0,60.0,71,86,63,68,RW,4,3,Left,178,65,RM,23,England,Premier League,Arsenal,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bukayo-saka/246669,,,,,,M,bukayo saka,433177.0,Bukayo Saka,Arsenal FC,2025.0,110000000,150000000,ok,False,,
Paulo Dybala,87,80,85,84,89,41,65,84,76,83.0,84.0,84,86.0,92.0,88,88,83.0,87.0,84,79,89.0,89.0,88,90,84,91,87,42.0,65.0,32.0,42.0,39.0,77,74,67,48,CAM,3,5,Left,177,75,ST,30,Argentina,Serie A Enilive,AS Roma,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/paulo-dybala/211110,,,,,,M,paulo dybala,206050.0,Paulo Dybala,Associazione Sportiva Roma,2025.0,5000000,110000000,ok,False,,
Theo Hernández,87,95,76,78,84,81,89,95,95,80.0,71.0,86,76.0,80.0,75,75,84.0,75.0,81,70,80.0,84.0,83,81,85,85,80,80.0,77.0,78.0,86.0,80.0,95,92,88,86,LB,3,4,Left,184,81,LM,26,France,Serie A Enilive,Milano FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/theo-hernandez/232656,,,,,,M,theo hernandez,339808.0,Theo Hernández,Al-Hilal Saudi Football Club,2025.0,20000000,60000000,ok,False,,
Neymar Jr,87,85,79,84,92,37,60,86,84,81.0,80.0,77,75.0,84.0,85,85,81.0,87.0,85,80,86.0,94.0,90,83,78,93,92,37.0,63.0,35.0,32.0,29.0,72,73,52,63,LW,5,5,Right,175,68,"CAM, LM",32,Brazil,ROSHN Saudi League,Al Hilal,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/neymar-jr/190871,,,,,,M,neymar jr,,,,,,,non_trouve,False,,
Declan Rice,87,73,72,82,79,84,85,71,75,71.0,64.0,84,82.0,50.0,71,79,79.0,65.0,85,86,81.0,82.0,55,65,85,84,86,86.0,72.0,85.0,86.0,85.0,82,92,81,85,CDM,3,3,Right,185,80,CM,25,England,Premier League,Arsenal,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/declan-rice/234378,,,,,,M,declan rice,357662.0,Declan Rice,Arsenal FC,2025.0,120000000,120000000,ok,False,,
Frenkie de Jong,87,82,69,86,87,77,78,80,83,77.0,72.0,68,66.0,70.0,53,88,78.0,64.0,91,89,84.0,87.0,87,79,88,89,90,82.0,72.0,76.0,76.0,77.0,82,89,74,74,CM,3,4,Right,181,74,CDM,27,Holland,LALIGA EA SPORTS,FC Barcelona,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/frenkie-de-jong/228702,,,,,,M,frenkie de jong,326330.0,Frenkie de Jong,FC Barcelona,2025.0,35000000,90000000,ok,False,,
Mike Maignan,87,84,83,85,88,64,84,65,62,15.0,15.0,64,20.0,16.0,15,65,18.0,16.0,64,61,38.0,30.0,60,56,85,40,68,25.0,17.0,23.0,16.0,19.0,82,39,83,35,GK,4,1,Right,191,89,,29,France,Serie A Enilive,Milano FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/mike-maignan/215698,84.0,83.0,85.0,84.0,88.0,M,mike maignan,182906.0,Mike Maignan,AC Milan,2025.0,20000000,45000000,ok,False,,
Bruno Fernandes,87,70,85,88,83,65,75,72,68,87.0,84.0,86,85.0,87.0,90,94,82.0,82.0,89,90,85.0,83.0,78,76,90,86,79,63.0,63.0,62.0,71.0,66.0,70,95,61,84,CAM,3,4,Right,179,69,CM,30,Portugal,Premier League,Man Utd,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/bruno-fernandes/212198,,,,,,M,bruno fernandes,240306.0,Bruno Fernandes,Manchester United,2025.0,35000000,90000000,ok,False,,
Heung Min Son,87,87,89,81,85,42,73,86,88,91.0,90.0,89,89.0,83.0,75,82,84.0,74.0,83,72,87.0,87.0,81,74,90,85,88,39.0,72.0,45.0,34.0,33.0,82,88,69,62,ST,5,4,Right,183,78,LM,32,Korea Republic,Premier League,Spurs,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/heung-min-son/200104,,,,,,M,heung min son,91845.0,,Los Angeles Football Club,2025.0,15000000,90000000,ok_approximatif,False,Heung-min Son,96.0
Marquinhos,87,79,56,75,74,89,81,76,81,70.0,59.0,65,45.0,35.0,52,76,68.0,32.0,84,85,58.0,69.0,68,67,86,79,86,89.0,88.0,90.0,89.0,88.0,89,83,79,81,CB,3,3,Right,183,75,,30,Brazil,Ligue 1 McDonald's,Paris SG,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/marquinhos/207865,,,,,,M,marquinhos,668268.0,Marquinhos,Cruzeiro Esporte Clube,2025.0,2500000,12000000,ok,False,,
Alessandro Bastoni,87,75,43,75,76,87,83,72,78,39.0,34.0,59,48.0,44.0,50,72,72.0,41.0,80,84,64.0,74.0,64,61,87,83,85,88.0,86.0,87.0,87.0,85.0,89,81,83,83,CB,3,2,Left,190,75,,25,Italy,Serie A Enilive,Lombardia FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alessandro-bastoni/237383,,,,,,M,alessandro bastoni,315853.0,Alessandro Bastoni,Inter Milan,2025.0,65000000,80000000,ok,False,,
İlkay Gündoğan,87,62,83,85,87,74,73,65,60,86.0,85.0,81,84.0,75.0,80,86,77.0,80.0,89,85,86.0,88.0,77,77,86,91,87,78.0,50.0,77.0,78.0,67.0,67,75,73,70,CM,4,4,Right,180,80,CDM,33,Germany,Premier League,Manchester City,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/ilkay-gundogan/186942,,,,,,M,ilkay gundogan,53622.0,İlkay Gündoğan,Manchester City,2025.0,2000000,50000000,ok,False,,
Emiliano Martínez,87,84,82,83,86,56,87,55,57,12.0,16.0,62,16.0,13.0,43,67,22.0,20.0,61,59,22.0,23.0,54,49,84,43,69,21.0,26.0,25.0,20.0,20.0,79,40,78,37,GK,4,1,Right,195,88,,32,Argentina,Premier League,Aston Villa,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/emiliano-martinez/202811,84.0,82.0,83.0,87.0,86.0,M,emiliano martinez,707447.0,Emiliano Martínez,Sociedade Esportiva Palmeiras,2025.0,6500000,9000000,ok,False,,
Nicolò Barella,87,81,78,83,86,80,82,85,78,83.0,76.0,80,79.0,80.0,73,84,79.0,67.0,88,85,79.0,82.0,91,92,90,88,86,84.0,60.0,80.0,83.0,81.0,79,93,74,87,CM,4,3,Right,172,68,CDM,27,Italy,Serie A Enilive,Lombardia FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/nicolo-barella/224232,,,,,,M,nicolo barella,255942.0,Nicolò Barella,Inter Milan,2025.0,50000000,80000000,ok,False,,
Yann Sommer,87,83,84,85,89,50,86,48,54,15.0,13.0,64,12.0,,24,64,13.0,13.0,40,36,12.0,15.0,55,58,84,25,54,21.0,10.0,,19.0,12.0,68,45,68,38,GK,4,1,Right,183,77,,35,Switzerland,Serie A Enilive,Lombardia FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/yann-sommer/177683,83.0,84.0,85.0,86.0,89.0,M,yann sommer,42205.0,Yann Sommer,Inter Milan,2025.0,2000000,13000000,ok,False,,
Cristiano Ronaldo,86,77,88,77,80,34,77,73,80,90.0,87.0,92,85.0,83.0,90,78,78.0,76.0,79,70,79.0,77.0,76,61,87,86,92,29.0,87.0,24.0,32.0,24.0,94,80,79,62,ST,4,5,Right,187,85,,39,Portugal,ROSHN Saudi League,Al Nassr,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/cristiano-ronaldo/20801,,,,,,M,cristiano ronaldo,8198.0,Cristiano Ronaldo,Al-Nassr Football Club,2025.0,10000000,120000000,ok,False,,
Gabriel,86,69,41,63,61,86,82,61,76,44.0,37.0,62,30.0,28.0,40,59,38.0,27.0,80,76,47.0,54.0,51,37,85,71,74,86.0,87.0,87.0,86.0,86.0,86,71,86,87,CB,2,2,Left,190,87,,26,Brazil,Premier League,Arsenal,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gabriel/232580,,,,,,M,gabriel,435338.0,Gabriel,Arsenal FC,2025.0,75000000,75000000,ok,False,,
Granit Xhaka,86,50,75,85,74,79,82,48,52,76.0,67.0,90,84.0,55.0,65,84,77.0,78.0,89,90,80.0,73.0,51,61,86,83,81,79.0,68.0,82.0,79.0,78.0,70,83,78,93,CDM,3,3,Left,186,80,CM,31,Switzerland,Bundesliga,Leverkusen,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/granit-xhaka/199503,,,,,,M,granit xhaka,111455.0,Granit Xhaka,Sunderland AFC,2025.0,8000000,50000000,ok,False,,
Rodrygo,86,89,81,79,88,31,64,90,88,84.0,86.0,76,77.0,67.0,82,83,79.0,73.0,80,73,80.0,89.0,87,84,84,87,85,21.0,67.0,24.0,34.0,30.0,77,81,59,54,RW,4,4,Right,174,64,"ST, RM",23,Brazil,LALIGA EA SPORTS,Real Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodrygo/243812,,,,,,M,rodrygo,412363.0,Rodrygo,Real Madrid,2025.0,45000000,110000000,ok,False,,
João Cancelo,86,81,73,85,85,80,72,86,77,81.0,69.0,80,79.0,62.0,52,85,87.0,69.0,87,79,87.0,85.0,79,78,84,87,85,81.0,72.0,79.0,83.0,79.0,80,88,62,76,LB,4,4,Right,182,74,"RB, RM",30,Portugal,ROSHN Saudi League,Al Hilal,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/joao-cancelo/210514,,,,,,M,joao cancelo,182712.0,João Cancelo,Al-Hilal Saudi Football Club,2025.0,8000000,70000000,ok,False,,
Rafael Leão,86,94,79,80,87,28,77,94,94,76.0,83.0,80,75.0,74.0,63,84,84.0,60.0,83,70,79.0,88.0,85,84,84,87,83,24.0,72.0,22.0,24.0,21.0,90,75,83,60,LW,4,5,Right,188,81,"LM, ST",25,Portugal,Serie A Enilive,Milano FC,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rafael-leao/241721,,,,,,M,rafael leao,357164.0,Rafael Leão,AC Milan,2025.0,50000000,90000000,ok,False,,
Grimaldo,86,74,73,88,85,76,71,77,71,79.0,67.0,84,83.0,63.0,54,85,93.0,89.0,87,85,89.0,85.0,84,86,86,86,83,79.0,62.0,76.0,78.0,74.0,73,90,63,69,LM,2,4,Left,171,68,"LB, LW",28,Spain,Bundesliga,Leverkusen,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/grimaldo/210035,,,,,,M,grimaldo,,,,,,,non_trouve,False,,
Luka Modrić,86,72,76,88,87,71,64,75,69,76.0,72.0,79,82.0,76.0,83,90,86.0,78.0,90,90,85.0,84.0,92,92,85,90,91,79.0,55.0,70.0,73.0,72.0,67,76,58,62,CM,4,4,Right,172,66,"CAM, CDM",39,Croatia,LALIGA EA SPORTS,Real Madrid,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/luka-modric/177003,,,,,,M,luka modric,27992.0,Luka Modrić,AC Milan,2025.0,3500000,55000000,ok,False,,
Alexis Mac Allister,86,69,82,85,84,76,76,71,67,80.0,79.0,88,82.0,77.0,86,86,79.0,82.0,87,86,83.0,84.0,82,83,85,86,84,78.0,61.0,77.0,79.0,73.0,72,87,69,83,CM,3,3,Right,176,72,CDM,25,Argentina,Premier League,Liverpool,https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alexis-mac-allister/239837,,,,,,M,alexis mac allister,534033.0,Alexis Mac Allister,Liverpool FC,2025.0,70000000,100000000,ok,False,,
